#Lifetime [years]    Confidence level
5e+31	1
1e+32	1
1.5e+32	1
2e+32	1
2.5e+32	1
3e+32	1
3.5e+32	1
4e+32	1
4.5e+32	1
5e+32	1
5.5e+32	1
6e+32	1
6.5e+32	1
7e+32	1
7.5e+32	1
8e+32	1
8.5e+32	1
9e+32	1
9.5e+32	1
1e+33	1
1.05e+33	1
1.1e+33	0.999999
1.15e+33	0.999999
1.2e+33	0.999998
1.25e+33	0.999996
1.3e+33	0.999994
1.35e+33	0.99999
1.4e+33	0.999985
1.45e+33	0.999977
1.5e+33	0.999967
1.55e+33	0.999954
1.6e+33	0.999936
1.65e+33	0.999914
1.7e+33	0.999885
1.75e+33	0.999851
1.8e+33	0.999808
1.85e+33	0.999757
1.9e+33	0.999696
1.95e+33	0.999624
2e+33	0.99954
2.05e+33	0.999443
2.1e+33	0.999331
2.15e+33	0.999205
2.2e+33	0.999061
2.25e+33	0.998901
2.3e+33	0.998722
2.35e+33	0.998523
2.4e+33	0.998304
2.45e+33	0.998064
2.5e+33	0.997801
2.55e+33	0.997515
2.6e+33	0.997206
2.65e+33	0.996872
2.7e+33	0.996514
2.75e+33	0.99613
2.8e+33	0.995719
2.85e+33	0.995282
2.9e+33	0.994818
2.95e+33	0.994327
3e+33	0.993809
3.05e+33	0.993262
3.1e+33	0.992688
3.15e+33	0.992085
3.2e+33	0.991454
3.25e+33	0.990796
3.3e+33	0.990108
3.35e+33	0.989393
3.4e+33	0.98865
3.45e+33	0.987878
3.5e+33	0.987079
3.55e+33	0.986252
3.6e+33	0.985398
3.65e+33	0.984516
3.7e+33	0.983608
3.75e+33	0.982673
3.8e+33	0.981711
3.85e+33	0.980724
3.9e+33	0.979711
3.95e+33	0.978673
4e+33	0.97761
4.05e+33	0.976523
4.1e+33	0.975411
4.15e+33	0.974276
4.2e+33	0.973117
4.25e+33	0.971936
4.3e+33	0.970733
4.35e+33	0.969508
4.4e+33	0.968261
4.45e+33	0.966993
4.5e+33	0.965705
4.55e+33	0.964397
4.6e+33	0.963069
4.65e+33	0.961723
4.7e+33	0.960357
4.75e+33	0.958974
4.8e+33	0.957573
4.85e+33	0.956155
4.9e+33	0.95472
4.95e+33	0.953268
5e+33	0.951801
5.05e+33	0.950319
5.1e+33	0.948821
5.15e+33	0.947309
5.2e+33	0.945783
5.25e+33	0.944244
5.3e+33	0.942691
5.35e+33	0.941126
5.4e+33	0.939548
5.45e+33	0.937958
5.5e+33	0.936357
5.55e+33	0.934744
5.6e+33	0.933121
5.65e+33	0.931488
5.7e+33	0.929844
5.75e+33	0.928191
5.8e+33	0.926529
5.85e+33	0.924858
5.9e+33	0.923179
5.95e+33	0.921491
6e+33	0.919796
6.05e+33	0.918093
6.1e+33	0.916383
6.15e+33	0.914666
6.2e+33	0.912942
6.25e+33	0.911213
6.3e+33	0.909477
6.35e+33	0.907736
6.4e+33	0.90599
6.45e+33	0.904238
6.5e+33	0.902482
6.55e+33	0.900722
6.6e+33	0.898957
6.65e+33	0.897188
6.7e+33	0.895416
6.75e+33	0.89364
6.8e+33	0.891861
6.85e+33	0.890079
6.9e+33	0.888294
6.95e+33	0.886507
7e+33	0.884717
7.05e+33	0.882926
7.1e+33	0.881132
7.15e+33	0.879337
7.2e+33	0.877541
7.25e+33	0.875743
7.3e+33	0.873944
7.35e+33	0.872144
7.4e+33	0.870344
7.45e+33	0.868543
7.5e+33	0.866741
7.55e+33	0.86494
7.6e+33	0.863138
7.65e+33	0.861337
7.7e+33	0.859536
7.75e+33	0.857735
7.8e+33	0.855935
7.85e+33	0.854136
7.9e+33	0.852337
7.95e+33	0.850539
8e+33	0.848743
8.05e+33	0.846948
8.1e+33	0.845154
8.15e+33	0.843362
8.2e+33	0.841571
8.25e+33	0.839782
8.3e+33	0.837995
8.35e+33	0.83621
8.4e+33	0.834427
8.45e+33	0.832646
8.5e+33	0.830867
8.55e+33	0.829091
8.6e+33	0.827317
8.65e+33	0.825545
8.7e+33	0.823777
8.75e+33	0.82201
8.8e+33	0.820247
8.85e+33	0.818487
8.9e+33	0.816729
8.95e+33	0.814975
9e+33	0.813223
9.05e+33	0.811475
9.1e+33	0.80973
9.15e+33	0.807988
9.2e+33	0.806249
9.25e+33	0.804514
9.3e+33	0.802783
9.35e+33	0.801055
9.4e+33	0.79933
9.45e+33	0.797609
9.5e+33	0.795892
9.55e+33	0.794178
9.6e+33	0.792469
9.65e+33	0.790763
9.7e+33	0.789061
9.75e+33	0.787363
9.8e+33	0.785668
9.85e+33	0.783978
9.9e+33	0.782292
9.95e+33	0.78061
1e+34	0.778932
1.005e+34	0.777258
1.01e+34	0.775588
1.015e+34	0.773923
1.02e+34	0.772262
1.025e+34	0.770605
1.03e+34	0.768952
1.035e+34	0.767303
1.04e+34	0.765659
1.045e+34	0.764019
1.05e+34	0.762384
1.055e+34	0.760753
1.06e+34	0.759126
1.065e+34	0.757504
1.07e+34	0.755886
1.075e+34	0.754273
1.08e+34	0.752664
1.085e+34	0.75106
1.09e+34	0.749461
1.095e+34	0.747865
1.1e+34	0.746275
1.105e+34	0.744689
1.11e+34	0.743107
1.115e+34	0.74153
1.12e+34	0.739958
1.125e+34	0.73839
1.13e+34	0.736827
1.135e+34	0.735268
1.14e+34	0.733714
1.145e+34	0.732165
1.15e+34	0.73062
1.155e+34	0.72908
1.16e+34	0.727545
1.165e+34	0.726014
1.17e+34	0.724488
1.175e+34	0.722967
1.18e+34	0.72145
1.185e+34	0.719938
1.19e+34	0.71843
1.195e+34	0.716927
1.2e+34	0.715429
